"games_played","games_started","three_points_made","rebounds","assists_turnover_ratio","steals","blocks","true_shooting_att","true_shooting_pct","efficiency","points_off_turnovers","effective_fg_pct","height","weight","experience","age","Ratings_2k","total_fouls","Salary_pct","year","name","full_name","primary_position","All_Nba","All_Nba_team"
0.35,0,0.03,0.1,0.13,0.15,0.05,0.09,0.48,0.19,0.02,0.48,0.55,0.34,0.1,0.25,0.24,0.08,0.00784003667699339,2020,"Spurs","Keita Bates-Diop","SF","0","0"
0.23,0,0.01,0.03,0.06,0.16,0.03,0.07,0.51,0.15,0.09,0.47,0.3,0.22,0.05,0.25,0.32,0.18,0.00784003667699339,2020,"Spurs","Quinndary Weatherspoon","SG","0","0"
0.43,0.39,0.44,0.19,0.22,0.29,0.27,0.48,0.51,0.46,0.39,0.5,0.35,0.15,0.14,0.33,0.41,0.52,0.0619944446242204,2020,"Spurs","Derrick White","SG","0","0"
0.8,0.82,0.18,0.44,0.24,0.61,0.03,0.53,0.47,0.59,0.38,0.48,0.35,0.1,0.14,0.25,0.53,0.42,0.252146207940744,2020,"Spurs","Dejounte Murray","PG","0","0"
0.76,0.77,0.08,0.21,0.15,0.3,0.04,0.36,0.44,0.35,0.22,0.46,0.3,0.17,0.29,0.33,0.29,0.38,0.084077278824137,2020,"Knicks","Elfrid Payton","PG","0","0"
0.76,0.01,0.31,0.3,0.1,0.29,0.17,0.36,0.49,0.4,0.3,0.5,0.55,0.45,0.67,0.67,0.41,0.38,0.255924624878548,2020,"Spurs","Rudy Gay","SF","0","0"
0.27,0.11,0.11,0.23,0.18,0.1,0.01,0.15,0.53,0.28,0.19,0.56,0.6,0.37,0.24,0.25,0.26,0.12,0.0970192396438106,2020,"Spurs","Trey Lyles","PF","0","0"
0.87,0.88,0.32,0.36,0.12,0.3,0.08,0.56,0.5,0.51,0.43,0.5,0.45,0.27,0.05,0.08,0.56,0.54,0.145251614662571,2020,"Knicks","RJ Barrett","SG","0","0"
0.44,0.01,0.01,0.04,0.23,0.09,0,0.08,0.5,0.17,0.05,0.49,0.2,0.12,0,0.08,0.21,0.07,0.0157710927348287,2020,"Spurs","Tre Jones","PG","0","0"
0.83,0.82,0.16,0.37,0.12,0.23,0.1,0.39,0.52,0.46,0.34,0.52,0.4,0.3,0.05,0.08,0.47,0.42,0.0360709025754881,2020,"Spurs","Keldon Johnson","SF","0","0"
0.65,0.04,0.01,0.28,0.07,0.13,0.25,0.16,0.57,0.33,0.14,0.57,0.6,0.42,0.1,0.21,0.29,0.33,0.028523320524532,2020,"Spurs","Drew Eubanks","C","0","0"
