"year","name","full_name","primary_position","games_played","games_started","three_points_made","rebounds","assists_turnover_ratio","steals","blocks","true_shooting_att","true_shooting_pct","efficiency","points_off_turnovers","effective_fg_pct","height","weight","experience","All_Nba","All_Nba_team","age","Ratings_2k","total_fouls","Salary_pct","SalaryLabel"
2020,"Spurs","Lonnie Walker IV","SG",60,38,167,2.58,1.55,0.48,0.25,10.66,52.3,8.97,1.53,50.2,76,204,2,0,0,21,75,1.68,2.65321605277625,"below average"
2020,"Spurs","Keita Bates-Diop","SF",30,0,17,1.63,1.71,0.37,0.17,2.54,51.8,3.5,0.1,48.5,80,229,2,0,0,24,72,0.37,0.411503573391974,"below average"
2020,"Spurs","Quinndary Weatherspoon","SG",20,0,5,0.55,0.8,0.4,0.1,2.1,54.7,2.15,0.55,47.1,75,205,1,0,0,24,75,0.9,0.411503573391974,"below average"
2020,"Spurs","Derrick White","SG",36,32,233,2.97,2.82,0.72,1,13.98,55,14.44,2.33,50.3,76,190,3,0,0,26,78,2.53,3.22181051859996,"below average"
2020,"Spurs","Dejounte Murray","PG",67,67,94,7.06,3.1,1.51,0.1,15.42,50.9,19.66,2.3,48.5,76,180,3,0,0,24,82,2.04,13.089609675646,"star"
2020,"Knicks","Elfrid Payton","PG",63,63,44,3.43,1.97,0.75,0.14,10.62,47.8,9.9,1.32,45.5,75,195,6,0,0,26,74,1.86,4.36778449697636,"average"
2020,"Spurs","Rudy Gay","SF",63,1,168,4.81,1.35,0.71,0.63,10.68,53.2,11.79,1.81,50.5,80,250,14,0,0,34,78,1.87,13.2856881070185,"star"
2020,"Spurs","Trey Lyles","PF",23,9,61,3.74,2.33,0.26,0.04,4.35,57.4,7,1.13,55.6,81,234,5,0,0,24,73,0.57,5.03939893714495,"average"
2020,"Knicks","RJ Barrett","SG",72,72,172,5.75,1.56,0.74,0.28,16.41,53.5,16.19,2.56,49.9,78,214,1,0,0,20,83,2.64,7.54238592633315,"average"
2020,"Spurs","Tre Jones","PG",37,1,8,0.57,3,0.22,0,2.33,54.4,2.86,0.32,49.4,73,185,0,0,0,20,71,0.35,0.823080447132124,"below average"
2020,"Spurs","Keldon Johnson","SF",69,67,87,5.97,1.55,0.58,0.35,11.47,55.7,14.23,2.06,52.2,77,220,1,0,0,20,80,2.07,1.87652556349643,"below average"
2020,"Spurs","Drew Eubanks","C",54,3,4,4.46,0.93,0.33,0.91,4.66,61.8,9.22,0.87,57.1,81,245,2,0,0,23,74,1.63,1.48484881803189,"below average"
2020,"Knicks","Obi Toppin","PF",62,0,42,2.23,1.26,0.27,0.24,3.56,57.4,5.11,0.45,56,81,220,0,0,0,22,76,0.89,4.45486531061023,"average"
2020,"Knicks","Immanuel Quickley","PG",64,3,184,2.14,2.19,0.47,0.19,10.26,55.7,9.52,1.83,49.7,75,190,0,0,0,21,78,1.8,1.92919186366135,"below average"
2020,"Knicks","Jared Harper","PG",8,0,0,0.25,0.33,0,0,0.72,26,-0.25,0,0,70,175,1,0,0,23,75,0.13,0.476898479017775,"below average"
2020,"Knicks","Taj Gibson","PF",45,3,7,5.56,1.64,0.69,1.09,4.05,66.1,11.36,0.58,63.6,81,232,11,0,0,35,76,2.26,3.00868975627634,"below average"
2020,"Knicks","Theo Pinson","SG",17,0,0,0.29,1,0,0,0.53,11.1,-0.06,0,11.1,77,212,2,0,0,24,75,0.24,0.735002748763057,"below average"
2020,"Knicks","Mitchell Robinson","C",31,29,0,8.13,0.65,1.13,1.45,6.43,64.2,15.84,0.71,65.3,84,240,2,0,0,22,80,2.77,1.52451988271944,"below average"
2020,"Spurs","DeMar DeRozan","SG",61,61,31,4.25,3.55,0.92,0.25,18.26,59.1,23.46,2.74,50.5,78,220,11,0,0,31,85,2.21,25.4168728238959,"superstar"
2020,"Knicks","Reggie Bullock","SF",65,64,251,3.43,2.2,0.8,0.17,9,60.6,11.25,1.66,58.7,78,205,7,0,0,29,74,2.29,3.84826827927433,"below average"
2020,"Pelicans","Josh Hart","SG",47,4,134,8.02,2.22,0.81,0.26,8.15,56.6,15.06,0.98,53.1,77,215,3,0,0,25,77,2.38,3.19878962800073,"below average"
2020,"Clippers","Ivica Zubac","C",72,33,1,7.21,1.11,0.33,0.86,6.52,69.3,15.15,0.71,65.4,84,240,4,0,0,23,78,2.6,6.41378046545721,"average"
2020,"Pelicans","Brandon Ingram","SF",61,61,234,4.9,1.92,0.69,0.59,20.36,58.4,22,2.56,53.1,80,190,4,0,0,23,84,2.08,25,"superstar"
2020,"Celtics","Daniel Theis","C",65,51,75.82,5.48,1.63,0.64,0.87,7.91,61.05,13.43,1.2,59.41,80,245,3,0,0,28,76,2.65,4.58127176104087,"average"
2020,"76ers","Tony Bradley","C",42,8,0,5.69,1.74,0.36,0.71,5.27,67.93,12.02,0.98,66.74,82,248,3,0,0,22,74,1.48,3.24542789078248,"below average"
2020,"76ers","Mason Jones","SG",32,1,74.69,1.72,1.69,0.22,0.03,4.72,56.77,4.66,1.04,53.14,76,200,0,0,0,22,75,0.75,0.388990287703867,"below average"
2020,"76ers","George Hill","PG",30,17,103.13,2.03,2.51,0.77,0.17,7.3,58.47,9.33,1.03,54.67,76,188,12,0,0,34,75,1.07,8.78743082279641,"average"
2020,"76ers","Terrance Ferguson","SG",13,0,0,0.08,0.5,0.08,0,0.54,14.3,-0.31,0,14.3,78,190,3,0,0,22,75,0.54,3.61371907641561,"below average"
2020,"Heat","Meyers Leonard","C",3,2,100,2.33,1,0,0,2.63,63.5,4,0,64.3,84,260,8,0,0,28,75,1.67,8.61279091075683,"average"
2020,"Pacers","Victor Oladipo","SG",33,33,236.42,4.85,1.87,1.39,0.42,19.3,51.09,17.12,3.33,47.34,76,213,7,0,0,28,80,2.49,19.2413413963716,"superstar"
2020,"Celtics","Jabari Parker","PF",13,0,15.38,3.23,1.18,0.08,0.38,4.67,59.02,7.15,0.46,56.48,80,245,6,0,0,25,73,1,6.3503106102254,"average"
2020,"Warriors","Eric Paschall","PF",40,2,45,3.2,1.19,0.3,0.18,8.48,56.1,8.98,1.58,52.7,78,255,1,0,0,23,76,1.72,1.39085669781931,"below average"
2020,"Celtics","Luke Kornet","PF",31,2,48.32,2.16,3.61,0.13,1.03,3.34,49.96,5.36,0.32,49.63,86,250,3,0,0,25,75,0.65,2.06157229246839,"below average"
2020,"Raptors","Matt Thomas","SG",45,0,59.93,0.98,1.39,0.09,0,2.96,52.56,2.51,0.49,50.42,76,190,1,0,0,26,71,0.4,1.39085669781931,"below average"
